Gene Symbol	Name	Entrez GeneId	Genome Location	Tier	Hallmark	Chr Band	Somatic	Germline	Tumour Types(Somatic)	Tumour Types(Germline)	Cancer Syndrome	Tissue Type	Molecular Genetics	Role in Cancer	Mutation Types	Translocation Partner	Other Germline Mut	Other Syndrome	Synonyms
KDSR	3-ketodihydrosphingosine reductase	2531	18:63331782-63367118	1		18q21.3	yes		B-NHL			L	Dom	fusion	T	IGK			"2531,ENSG00000119537,FVT1,KDSR,Q06136"
KEAP1	kelch like ECH associated protein 1	9817	19:10486652-10500033	1	Yes	19p13.2	yes		"NSCLC, breast carcinoma"			E		TSG	"Mis, N, F"				"9817,ENSG00000079999,KEAP1,Q14145"
KIAA1549	KIAA1549	57670	7:138837906-138919418	2		7q34	yes		pilocytic astrocytoma			O	Dom	fusion	T	BRAF			"57670,ENSG00000122778,KIAA1549"
KIAA1598	KIAA1598	57698	10:116886555-117005079	2		10q25.3	yes		Spitzoid tumour			E	Dom	fusion	T	ROS1			"57698,A0MZ66,ENSG00000187164,KIAA1598"
KIF5B	kinesin family member 5B	3799	10:32009010-32055973	1		10p11.22	yes		"NSCLC, Spitzoid tumour"			E	Dom	fusion	T	"RET, ALK"			"3799,ENSG00000170759,KIF5B,KNS1,P33176"
KIT	v-kit Hardy-Zuckerman 4 feline sarcoma viral oncogene homolog	3815	4:54658015-54738557	1	Yes	4q12	yes	yes	"GIST, AML, TGCT, mastocytosis, mucosal melanoma"	"GIST, epithelioma"	familial gastrointestinal stromal tumour	"L, M, O, E"	Dom	oncogene	"Mis, O"		yes	Piebald trait	"3815,ENSG00000157404,KIT,P10721,PBT"
KLF4	Kruppel-like factor 4	9314	9:107485751-107489172	1	Yes	9q31	yes		meningioma			O	Dom	"oncogene, TSG"	Mis				"9314,ENSG00000136826,KLF4,O43474"
KLF6	Kruppel-like factor 6	1316	10:3779539-3785014	1		10p15	yes		"prostate, glioma"			"E, O"	Rec	TSG	"Mis, N"				"1316,BCD1,COPEB,ENSG00000067082,KLF6,Q99612,ST12"
KLK2	kallikrein-related peptidase 2	3817	19:50873474-50878559	1		19q13.41	yes		prostate			E	Dom	fusion	T	ETV4			"3817,ENSG00000167751,KLK2,P20151"
KMT2A	lysine (K)-specific methyltransferase 2A	4297	11:118436513-118522172	1		11q23	yes		"AML, ALL"			L	Dom	"oncogene, fusion"	"T, O"	"KMT2A, MLLT1, AFF1, MLLT3, MLLT4, FOXO4, MLLT10, MLLT6, ELL, EPS15, MLLT11, CREBBP, SH3GL1, FNBP1, SEPT5, SEPT9, GPHN, GMPS, ABI1, ARHGEF12, GAS7, FOXO3, AFF3, TET1, SEPT6, LPP, RUNX1T1, ARHGAP26, EP300, PICALM, CLP1, PRRC1, DAB2IP, MAPRE1, KIAA1524, SEPT2, SARNP, ZFYVE19, TOP3A, CASC5, EEFSEC, FRYL, SORBS2, ABI2, LASP1, CASP8AP2, AFF4, NRIP3, NCKIPSD, CBL, ACTN4, PDS5A, CT45A2, MYO1F, KIAA0284, BTBD18"			"4297,ENSG00000118058,KMT2A,MLL,Q03164"
KMT2C	lysine (K)-specific methyltransferase 2C	58508	7:152136832-152435786	1		7q36.1	yes		medulloblastoma			O	Rec	TSG	N				"58508,ENSG00000055609,KMT2C,MLL3,Q8NEZ4"
KMT2D	lysine (K)-specific methyltransferase 2D	8085	12:49021780-49055324	1		12q13.12	yes		"medulloblastoma, renal"			"O, E"	Rec	"oncogene, TSG"	"N, F, Mis"				"8085,ENSG00000167548,KMT2D,MLL2,O14686,TNRC21"
KNSTRN	kinetochore localized astrin/SPAG5 binding protein	90417	15:40382836-40393597	2		15q15.1	yes		SCC			E		oncogene	Mis				"90417,C15orf23,ENSG00000128944,KNSTRN,Q9Y448"
KRAS	v-Ki-ras2 Kirsten rat sarcoma 2 viral oncogene homolog	3845	12:25209795-25245384	1	Yes	12p12.1	yes		"pancreatic, colorectal, lung, thyroid, AML, other tumour types"			"L, E, M, O"	Dom	oncogene	Mis				"3845,ENSG00000133703,KRAS,KRAS2,P01116"
KTN1	kinectin 1 (kinesin receptor)	3895	14:55612050-55680691	1		14q22.1	yes		papillary thyroid			E	Dom	fusion	T	RET			"3895,ENSG00000126777,KTN1,Q86UP2"
LARP4B	La ribonucleoprotein domain family member 4B	23185	10:812926-885721	2		10p15.3	yes		"CRC, glioma"			"E, O"		TSG	"F, D"				"23185,ENSG00000107929,KIAA0217,LARP4B,LARP5,Q92615"
LASP1	LIM and SH3 protein 1	3927	17:38870190-38918778	1		17q11-q21.3	yes		AML			L	Dom	fusion	T	KMT2A			"3927,ENSG00000002834,LASP1,Q14847"
LATS1	large tumor suppressor kinase 1	9113	6:-	1	Yes	6q25.1	yes		skin basal cell carcinoma			E		TSG	"Mis, N"				
LATS2	large tumor suppressor kinase 2	26524	13:20974870-21046026	1	Yes	13q12.11	yes		malignant mesothelioma			E		TSG	"D, F, N"				"26524,ENSG00000150457,LATS2,Q9NRM7"
LCK	lymphocyte-specific protein tyrosine kinase	3932	1:32274330-32285716	1	Yes	1p35-p34.3	yes		T-ALL			L	Dom	"oncogene, fusion"	T	TRB			"3932,ENSG00000182866,LCK,P06239"
LCP1	lymphocyte cytosolic protein 1 (L-plastin)	3936	13:46127591-46159662	2		13q14.1-q14.3	yes		NHL			L	Dom	fusion	T	BCL6			"3936,ENSG00000136167,LCP1,P13796"
LEF1	lymphoid enhancer binding factor 1	51176	4:108063629-108167767	1	Yes	4q25	yes		"B-ALL, T-ALL, eyelid sebaceous carcinoma, AML, lymphomas"			"L, E"		"oncogene, TSG"	"Mis, N"				"51176,ENSG00000138795,LEF1,Q9UJU2"
LEPROTL1	leptin receptor overlapping transcript like 1	23484	8:30095513-30105862	2		8p12	yes		"lung cancer, colon cancer"			E		TSG	D				"23484,ENSG00000104660,LEPROTL1,O95214"
LHFP	lipoma HMGIC fusion partner	10186	13:39343936-39601216	2		13q12	yes		lipoma			M	Dom	fusion	T	HMGA2			"10186,ENSG00000183722,LHFP,Q9Y693"
LIFR	leukemia inhibitory factor receptor	3977	5:38481595-38530647	1	Yes	5p13-p12	yes		salivary adenoma			E	Dom	fusion	T	PLAG1			"3977,ENSG00000113594,LIFR,P42702"
LMNA	lamin A/C	4000	1:156114919-156139106	1	Yes	1q22	yes		Spitzoid tumour			E	Dom	fusion	T	NTRK1	yes	"Muscular dystrophy, dilated cardiomyopathy,  familial partial lipodystrophy, and others"	"4000,CMD1A,ENSG00000160789,LGMD1B,LMN1,LMNA,LMNL1,P02545,PRO1"
LMO1	LIM domain only 1 (rhombotin 1) (RBTN1)	4004	11:8224616-8268634	1		11p15	yes	yes	"T-ALL, neuroblastoma"	neuroblastoma		L	Dom	"oncogene, fusion"	"T, A"	TRD			"4004,ENSG00000166407,LMO1,P25800,RBTN1"
LMO2	LIM domain only 2 (rhombotin-like 1) (RBTN2)	4005	11:33859356-33869386	1		11p13	yes		T-ALL			L	Dom	"oncogene, fusion"	T	TRD			"4005,ENSG00000135363,LMO2,P25791,RBTNL1"
LPP	LIM domain containing preferred translocation partner in lipoma	4026	3:188406122-188874480	1		3q28	yes		"lipoma, leukaemia"			"L, M"	Dom	"oncogene, fusion"	T	"HMGA2, KMT2A, C12orf9"			"4026,ENSG00000145012,LPP,Q93052"
LRIG3	leucine-rich repeats and immunoglobulin-like domains 3	121227	12:58872572-58920235	1		12q14.1	yes		NSCLC			E	Dom	"TSG, fusion"	T	ROS1			"121227,ENSG00000139263,LRIG3,Q6UXM1"
LRP1B	LDL receptor related protein 1B	53353	2:140233186-142130729	1	Yes	2q21.2	yes		"CLL, ovarian cancer, oesophageal squamous cell carcinoma, urothelial cancer"			"E, L"	Rec	TSG	"D, Mis, N, F"				"53353,ENSG00000168702,LRP1B,Q9NZR2"
LSM14A	"LSM14A, SCD6 homolog A (S. cerevisiae)"	26065	19:34172643-34227388	2		19q13.11	yes		Spitzoid tumour			E	Dom	fusion	T	BRAF			"26065,C19orf13,ENSG00000257103,FAM61A,LSM14A,Q8ND56"
LYL1	lymphoblastic leukemia derived sequence 1	4066	19:13099319-13101171	1		19p13.2-p13.1	yes		T-ALL			L	Dom	"oncogene, fusion"	T	TRB			"4066,ENSG00000104903,LYL1,P12980"
LZTR1	leucine-zipper-like transcription regulator 1	8216	22:20982372-20997348	1	Yes	22q11.21	yes	yes	glioblastoma	"glioblastoma, schwannoma"	Schwannomatosis-2	E	Dom	TSG	"Mis, F, N"		yes	Noonan syndrome 10	"8216,ENSG00000099949,LZTR1,Q8N653"
MACC1	MET transcriptional regulator MACC1	346389	7:20140946-20161862	2		7p21.1	yes		"liver, CRC"			E		oncogene	Mis				"346389,ENSG00000183742,MACC1,Q6ZN28"
MAF	v-maf musculoaponeurotic fibrosarcoma oncogene homolog	4094	16:79594460-79599902	1		16q22-q23	yes		MM			L	Dom	"oncogene, fusion"	T	IGH			"4094,ENSG00000178573,MAF,O75444"
MAFB	v-maf musculoaponeurotic fibrosarcoma oncogene homolog B (avian)	9935	20:40687879-40688850	1		20q11.2-q13.1	yes		MM			L	Dom	"oncogene, fusion"	T	IGH			"9935,ENSG00000204103,KRML,MAFB,Q9Y5Q3"
MALAT1	"metastasis associated lung adenocarcinoma transcript 1 ( lnc-RNA; non-protein coding)"	378938	11:65502644-65502817	2		11q31.1	yes		"renal cell carcinoma (childhood epithelioid), lung"			E	Dom	"oncogene, TSG, fusion"	T	TFEB			"378938,MALAT1,PRO1073,Q9UHZ2"
MALT1	mucosa associated lymphoid tissue lymphoma translocation gene 1	10892	18:58671645-58747843	1		18q21	yes		MALT			L	Dom	"oncogene, fusion"	T	BIRC3			"10892,ENSG00000172175,MALT1,MLT,Q9UDY8"
MAML2	mastermind-like 2 (Drosophila)	84441	11:95978948-96341895	1		11q22-q23	yes		salivary gland mucoepidermoid			E	Dom	"oncogene, fusion"	T	"CRTC3, CRTC1"			"84441,ENSG00000184384,MAML2,Q8IZL2"
MAP2K1	mitogen-activated protein kinase kinase 1	5604	15:66387348-66490615	1		15q22.1-q22.33	yes		"NSCLC, melanoma, colorectal"			E	Dom	oncogene	Mis		yes	Cardiofaciocutaneous syndrome	"5604,ENSG00000169032,MAP2K1,PRKMK1,Q02750"
MAP2K2	mitogen-activated protein kinase kinase 2	5605	19:4090598-4123875	1		19p13.3	yes		"NSCLC, melanoma"			E	Dom	oncogene	Mis		yes	Cardiofaciocutaneous syndrome	"5605,ENSG00000126934,MAP2K2,P36507,PRKMK2"
MAP2K4	mitogen-activated protein kinase kinase 4	6416	17:12020887-12141260	1		17p11.2	yes		"pancreatic, breast, colorectal"			E	Rec	"oncogene, TSG"	"D, Mis, N"				"6416,ENSG00000065559,MAP2K4,P45985,SERK1"
MAP3K1	"mitogen-activated protein kinase kinase kinase 1, E3 ubiquitin protein ligase"	4214	5:56152434-56189507	1		5q11.2	yes		luminal A breast			E	Rec	"oncogene, TSG"	"N, F, Mis, O, S"		yes	"46,XY sex reversal 6"	
MAP3K13	mitogen-activated protein kinase kinase kinase 13	9175	3:185428582-185482456	1		3q27	yes		breast			E	Rec	"oncogene, TSG"	F				"9175,ENSG00000073803,MAP3K13,O43283"
MAPK1	mitogen-activated protein kinase 1	5594	22:21769204-21867440	1	Yes	22q11.2	yes		"CLL, ovarian mixed germ cell tumour, cervical carcinoma"			"E, L"	Dom	oncogene	Mis				"5594,ENSG00000100030,MAPK1,P28482,PRKM1,PRKM2"
MAX	Myc associated factor X	4149	14:65076476-65102339	1		14q23	yes	yes	"pheochromocytoma, endometrioid carcinoma, colon carcinoma"	pheochromocytoma		"E, O"	Rec	TSG	"Mis, N, F"				"10344,4149,CCL26,ENSG00000006606,ENSG00000125952,MAX,P61244,Q9Y258,SCYA26"
MB21D2	Mab-21 domain containing 2	151963	3:192798386-192917840	2		3q29	yes		lung cancer			E			Mis				"151963,C3orf59,ENSG00000180611,MB21D2,Q8IYB1"
MDM2	Mdm2 p53 binding protein homolog	4193	12:68808478-68839849	1		12q15	yes		"sarcoma, glioma, colorectal, other tumour types"			"M, O, E, L"	Dom	oncogene	A				"4193,ENSG00000135679,MDM2,Q00987"
MDM4	Mdm4 p53 binding protein homolog	4194	1:204525519-204549682	1		1q32	yes		"glioblastoma, bladder, retinoblastoma"			M	Dom	oncogene	A				"4194,ENSG00000198625,MDM4,O15151"
MDS2	myelodysplastic syndrome 2	259283	1:23629556-23640550	2		1p36	yes		MDS			L	Dom	fusion	T	ETV6			"ENSG00000197880,MDS2,Q8NDY4"
MECOM	MDS1 and EVI1 complex locus	2122	3:169084909-169131477	1		3q26.2	yes		"AML, CML, MDS"			L	Dom	"oncogene, fusion"	T	"RUNX1, ETV6, PRDM16, RPN1"			"2122,ENSG00000085276,EVI1,MDS1,MECOM,Q03112"
MED12	mediator complex subunit 12	9968	X:71118755-71142218	1	Yes	Xq13	yes		"uterine leiomyoma, fibroadenoma, phyllodes tumour"			"M, E"	Dom	TSG	"Mis, S, O"		yes	Opitz-Kaveggia Syndrome	"9968,ENSG00000184634,FGS1,MED12,Q93074,TNRC11"
MEN1	multiple endocrine neoplasia type 1 gene	4221	11:64804334-64810109	1	Yes	11q13	yes	yes	"parathyroid tumours, pancreatic neuroendocrine tumour"	"parathyroid adenoma, pituitary adenoma, pancreatic islet cell, carcinoid"	multiple endocrine neoplasia type 1	E	Rec	TSG	"D, Mis, N, F, S"				"4221,ENSG00000133895,MEN1,O00255"
MET	met proto-oncogene (hepatocyte growth factor receptor)	4233	7:116699085-116796124	1		7q31	yes		"papillary renal, head-neck squamous cell"	papillary renal	familial papillary renal cancer	E	Dom	oncogene	Mis				"4233,ENSG00000105976,MET,P08581"
MGMT	O-6-methylguanine-DNA methyltransferase	4255	10:129536253-129766997	2		10q26.3	yes		glioma			O		TSG	D				"4255,ENSG00000170430,MGMT,P16455"
MITF	melanogenesis-associated transcription factor	4286	3:69936723-69965248	1		3p14.1	yes		melanoma			E	Dom	oncogene	A		yes	"Waardenburg syndrome type 2, Tietz syndrome"	"4286,ENSG00000187098,MITF,O75030,WS2,WS2A"
MKL1	megakaryoblastic leukemia (translocation) 1	57591	22:40411390-40463227	1		22q13	yes		acute megakaryocytic leukaemia			L	Dom	"oncogene, TSG, fusion"	T	RBM15			"57591,ENSG00000196588,MKL1,Q969V6"
MLF1	myeloid leukemia factor 1	4291	3:158571302-158605203	1		3q25.1	yes		AML			L	Dom	"TSG, fusion"	T	NPM1			"4291,ENSG00000178053,MLF1,P58340"
MLH1	E.coli MutL homolog gene	4292	3:36993548-37050653	1		3p21.3	yes	yes	"colorectal, endometrial, ovarian, CNS tumours"	"colorectal, endometrial, ovarian, CNS"	"hereditary non-polyposis colorectal cancer, Turcot syndrome"	"E, O"	Rec	TSG	"D, Mis, N, F, S"				"4292,COCA2,ENSG00000076242,MLH1,P40692"
MLLT1	"myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 1 (ENL)"	4298	19:6213042-6279784	1		19p13.3	yes		AL			L	Dom	fusion	T	KMT2A			"4298,ENSG00000130382,MLLT1,Q03111"
MLLT10	"myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 10 (AF10)"	8028	10:21534646-21740235	1	Yes	10p12	yes		AL			L	Dom	"oncogene, fusion"	T	"KMT2A, PICALM, CDK6"			"8028,ENSG00000078403,MLLT10,P55197"
MLLT11	"myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 11"	10962	1:151039702-151040970	1		1q21	yes		ALL			L	Dom	fusion	T	KMT2A			"10962,ENSG00000213190,MLLT11,Q13015"
MLLT3	"myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 3 (AF9)"	4300	9:20346443-20622256	1		9p22	yes		ALL			L	Dom	fusion	T	KMT2A			"4300,ENSG00000171843,MLLT3,P42568"
MLLT4	"myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 4 (AF6)"	4301	6:167827134-167952263	1		6q27	yes		AL			L	Dom	"oncogene, fusion"	T	KMT2A			
MLLT6	"myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 6 (AF17)"	4302	17:36861887-36881852	1		17q21	yes		AL			L	Dom	fusion	T	KMT2A			"4302,ENSG00000108292,MLLT6,P55198"
MN1	"MN1 proto-oncogene, transcriptional regulator"	4330	22:27750915-27800543	1		22q12.1	yes		"AML, MDS"			L	Dom	"oncogene, fusion"	T	ETV6			"4330,ENSG00000169184,MGCR,MN1,Q10571"
MNX1	motor neuron and pancreas homeobox 1	3110	7:157005520-157010350	2		7q36	yes		AML			L	Dom	fusion	T	ETV6	yes	Currarino syndrome	"3110,ENSG00000130675,HLXB9,MNX1,P50219"
MPL	"myeloproliferative leukaemia virus oncogene, thrombopoietin receptor"	4352	1:43337849-43352772	1		1p34	yes	yes	MPN	MPN	familial essential thrombocythemia	L	Dom	oncogene	Mis		yes	Congenital amegakaryocytic thrombocytopenia	"4352,ENSG00000117400,MPL,P40238"
MSH2	mutS homolog 2 (E. coli)	4436	2:47403192-47482949	1		2p22-p21	yes	yes	"colorectal, endometrial, ovarian"	"colorectal, endometrial, ovarian"	hereditary non-polyposis colorectal cancer	E	Rec	TSG	"D, Mis, N, F, S"				"4436,COCA1,ENSG00000095002,MSH2,P43246"
MSH6	mutS homolog 6 (E. coli)	2956	2:47783234-47806860	1		2p16	yes	yes	colorectal	"colorectal, endometrial, ovarian"	hereditary non-polyposis colorectal cancer	E	Rec	TSG	"Mis, N, F, S"				"2956,ENSG00000116062,GTBP,MSH6,P52701"
MSI2	musashi homolog 2 (Drosophila)	124540	17:57257049-57631832	1		17q23.2	yes		CML			L	Dom	"oncogene, fusion"	T	HOXA9			"124540,ENSG00000153944,MSI2,Q96DH6"
MSN	moesin	4478	X:65667842-65739893	1		Xq11.2-q12	yes		ALCL			L	Dom	fusion	T	ALK			"4478,ENSG00000147065,MSN,P26038"
MTCP1	mature T-cell proliferation 1	4515	X:155061843-155064023	1		Xq28	yes		T cell prolymphocytic leukaemia			L	Dom	"oncogene, fusion"	T	TRA			"100272147,CMC4,ENSG00000182712,MTCP1,MTCP1NB,P56277"
MTOR	mechanistic target of rapamycin	2475	1:11107485-11259409	1	Yes	1p36	yes		"endometrial carcinoma, head and neck, clear cell renal cell carcinoma, anaplastic thyroid cancer, urothelial cell carcinoma, central nervous system tumours, testicular germ cell tumours and other tumour types"			E	Dom	oncogene	"Mis, N"		yes	"Smith-Kingsmore syndrome, brain overgrowth phenotypes such as focal cortical dysplasia and megalencephaly,"	"2475,ENSG00000198793,FRAP,FRAP1,FRAP2,MTOR,P42345"
MUC1	"mucin 1, transmembrane"	4582	1:155186135-155192843	1		1q21	yes		B-NHL			L	Dom	fusion	T	IGH			"4582,ENSG00000185499,MCKD1,MUC1,P15941,PUM"
MUC16	"mucin 16, cell surface associated"	94025	19:8949776-8981138	2		19p13.2	yes		"HNSCC, melanoma"			E		oncogene	Mis				"94025,ENSG00000181143,MUC16"
MUC4	"mucin 4, cell surface associated"	4585	3:195747176-195811817	2		3q29	yes		HNSCC			E		oncogene	"Mis, O"				"4585,ENSG00000145113,MUC4,Q99102"
MUTYH	mutY homolog (E. coli)	4595	1:45329306-45340254	1		1p34.3-1p32.1		yes		colorectal	adenomatous polyposis coli	E	Rec	TSG	Mis				"4595,ENSG00000132781,MUTYH,Q9UIF7"
MYB	v-myb myeloblastosis viral oncogene homolog	4602	6:135181514-135217980	1		6q22-23	yes		adenoid cystic carcinoma			E	Dom	"oncogene, fusion"	T	NFIB			"4602,ENSG00000118513,MYB,P10242"
MYC	v-myc myelocytomatosis viral oncogene homolog (avian)	4609	8:127738263-127740958	1	Yes	8q24.12-q24.13	yes		"Burkitt lymphoma, amplified in other cancers, B-CLL"			"L, E"	Dom	"oncogene, fusion"	"A, T"	"IGK, BCL5, BCL7A , BTG1, TRA, IGH"			"4609,ENSG00000136997,MYC,P01106"
MYCL	v-myc avian myelocytomatosis viral oncogene lung carcinoma derived homolog	4610	1:39900814-39901434	1		1p34.2	yes		small cell lung carcinoma			E	Dom	oncogene	A				"4610,ENSG00000116990,MYCL,MYCL1,P12524"
MYCN	"v-myc myelocytomatosis viral related oncogene, neuroblastoma derived (avian)"	4613	2:15942065-15946097	1		2p24.1	yes		"neuroblastoma, Wilms tumour"			O	Dom	oncogene	"A, Mis"		yes	Feingold syndrome 1	"4613,ENSG00000134323,MYCN,NMYC,P04198"
MYD88	myeloid differentiation primary response gene (88)	4615	3:38138662-38141286	1	Yes	3p22	yes		ABC-DLBCL			L	Dom	oncogene	Mis				"4615,ENSG00000172936,MYD88"
MYH11	"myosin, heavy polypeptide 11, smooth muscle"	4629	16:15708811-15838252	1		16p13.13-p13.12	yes		AML			L	Dom	fusion	T	CBFB			"4629,ENSG00000133392,MYH11"
MYH9	"myosin, heavy polypeptide 9, non-muscle"	4627	22:36282668-36349236	1		22q13.1	yes		ALCL			L	Dom	"TSG, fusion"	T	ALK	yes	"Deafness, autosomal dominant 17, Epstein syndrome, Fechtner syndrome, May-Hegglin anomaly, Sebastian syndrome"	"4627,DFNA17,ENSG00000100345,MYH9,P35579"
MYO5A	"myosin VA (heavy chain 12, myoxin)"	4644	15:52313696-52528806	1		15q21	yes		Spitzoid tumour			E	Dom	fusion	T	ROS1	yes	Griscelli syndrome	"4644,ENSG00000197535,MYH12,MYO5A,Q9Y4I1"
MYOD1	myogenic differentiation 1	4654	11:17719783-17721508	1		11p15.4	yes		embryonal rhabdomyosarcoma			M	Dom	oncogene	Mis				"4654,ENSG00000129152,MYF3,MYOD1,P15172"
N4BP2	NEDD4 binding protein 2	55728	4:40097341-40154237	2		4p14	yes		lung cancer			E		TSG	D				"55728,ENSG00000078177,N4BP2,Q86UW6"
NAB2	NGFI-A binding protein 2	4665	12:57089272-57094721	1	Yes	12q13.3	yes		"solitary fibrous tumour, meningeal haemangiopericytoma"			"M, O"	Dom	"TSG, fusion"	T	STAT6			"4665,ENSG00000166886,NAB2,Q15742"
NACA	nascent-polypeptide-associated complex alpha polypeptide	4666	12:56712538-56724521	2		12q23-q24.1	yes		NHL			L	Dom	fusion	T	BCL6			"4666,ENSG00000196531,NACA,Q13765"
NBEA	neurobeachin	26960	13:34942821-35670991	2		13q13.3	yes		"large intestine carcinoma, multiple myeloma"			"E, L"			"F, T"	PVT1			"26960,ENSG00000172915,NBEA"
NBN	nibrin	4683	8:89935582-89984561	1		8q21		yes		"NHL, glioma, medulloblastoma, rhabdomyosarcoma"	Nijmegen breakage syndrome	"L, E, M, O"	Rec	TSG	"Mis, N, F"				"4683,ENSG00000104320,NBN,NBS,NBS1,O60934"
NCKIPSD	NCK interacting protein with SH3 domain	51517	3:48674544-48685807	2		3p21	yes		ALL			L	Dom	fusion	T	KMT2A			"51517,ENSG00000213672,NCKIPSD,Q9NZQ3"
NCOA1	nuclear receptor coactivator 1	8648	2:24658678-24768391	1		2p23	yes		alveolar rhabdomyosarcoma			M	Dom	fusion	T	PAX3			"8648,ENSG00000084676,NCOA1,Q15788"
NCOA2	nuclear receptor coactivator 2 (TIF2)	10499	8:70113632-70216745	1		8q13.1	yes		"AML, chondrosarcoma, rhabdomyosarcoma"			"L, M"	Dom	"oncogene, fusion"	T	"KAT6A, HEY1, NCOA2"			"10499,ENSG00000140396,NCOA2,Q15596"
NCOA4	nuclear receptor coactivator 4 - PTC3 (ELE1)	8031	10:51579142-51586417	1		10q11.2	yes		papillary thyroid			E	Dom	"TSG, fusion"	T	RET			
NCOR1	nuclear receptor corepressor 1	9611	17:16032296-16194569	1		17p11.2	yes		breast			E	Rec	TSG	"Mis, F, N, O"		yes	Ulnar-mammary syndrome	"9611,ENSG00000141027,NCOR1,O75376"
NCOR2	nuclear receptor corepressor 2	9612	12:124325402-124495251	1	Yes	12q24	yes		prostate			E	Dom	TSG	"Mis, F, N, O"				"9612,ENSG00000196498,NCOR2,Q9Y618"
NDRG1	N-myc downstream regulated 1	10397	8:133238878-133284311	1	Yes	8q24.3	yes		prostate			E	Dom	"TSG, fusion"	T	ERG			"10397,CAP43,ENSG00000104419,NDRG1,Q92597"
NF1	neurofibromatosis type 1 gene	4763	17:31095310-31374155	1	Yes	17q12	yes	yes	"neurofibroma, glioma"	"neurofibroma, glioma"	neurofibromatosis type 1	O	Rec	"TSG, fusion"	"D, Mis, N, F, S, O"				"4763,ENSG00000196712,NF1,P21359"
NF2	neurofibromatosis type 2 gene	4771	22:29603999-29694802	1	Yes	22q12.2	yes	yes	"meningioma, acoustic neuroma, renal"	"meningioma, acoustic neuroma"	neurofibromatosis type 2	O	Rec	TSG	"D, Mis, N, F, S, O"				"4771,ENSG00000186575,NF2,P35240"
NFATC2	"nuclear factor of activated T-cells, cytoplasmic, calcineurin-dependent 2"	4773	20:51391396-51542499	1		20q13.2	yes		Ewing sarcoma			M	Dom	"oncogene, fusion"	T	EWSR1			"4773,ENSG00000101096,NFATC2,Q13469"
NFE2L2	nuclear factor (erythroid-derived 2)-like 2 (NRF2)	4780	2:177230785-177264576	1	Yes	2q31	yes		"NSCLC, HNSCC"			E	Dom	"oncogene, TSG"	Mis				"4780,ENSG00000116044,NFE2L2,Q16236"
NFIB	nuclear factor I/B	4781	9:14088309-14313511	1		9p24.1	yes		"adenoid cystic carcinoma, lipoma"			E	Dom	fusion	T	"MYB, HGMA2"			"4781,ENSG00000147862,NFIB,O00712"
NFKB2	nuclear factor of kappa light polypeptide gene enhancer in B-cells 2 (p49/p100)	4791	10:102395960-102402376	1		10q24	yes		B-NHL			L	Dom	"oncogene, TSG, fusion"	T	IGH			
NFKBIE	"nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, epsilon"	4794	6:44259219-44265763	1		6p21.1	yes		"CLL, desmoplastic melanoma"			"L, E"	Dom/Rec	TSG	"F, Mis"				"4794,ENSG00000146232,NFKBIE,O00221"
NIN	ninein (GSK3B interacting protein)	51199	14:50725872-50822056	1		14q24	yes		MPN			L	Dom	fusion	T	PDGFRB			"51199,ENSG00000100503,NIN,Q8N4C6"
NKX2-1	NK2 homeobox 1	7080	14:36517278-36519357	1		14q13	yes		NSCLC			E	Dom	"oncogene, TSG"	A				"7080,BCH,ENSG00000136352,NKX2-1,NKX2A,P43699,TITF1"
NONO	"non-POU domain containing, octamer-binding"	4841	X:71290638-71300076	1	Yes	Xq13.1	yes		papillary renal			E	Dom	fusion	T	TFE3			"4841,ENSG00000147140,NONO,Q15233"
NOTCH1	"Notch homolog 1, translocation-associated (Drosophila) (TAN1)"	4851	9:136496071-136545786	1	Yes	9q34.3	yes		"T-ALL, breast, bladder, skin SCC, lung SCC, head and neck SCC"			"L, E"	Dom/Rec	"oncogene, TSG, fusion"	"T, Mis, O"	"TRB, SEC16A, GABBR2"			"4851,ENSG00000148400,NOTCH1,P46531,TAN1"
NOTCH2	Notch homolog 2	4853	1:119915306-120069406	1	Yes	1p13-p11	yes		"marginal zone lymphoma, DLBCL, bladder"			"L, E"	Dom/Rec	"oncogene, TSG"	"N, F, Mis"		yes	"Hajdu-Cheney syndrome, serpentine fibula-polycystic kidney syndrome"	"4853,ENSG00000134250,NOTCH2,Q04721"
NPM1	"nucleophosmin (nucleolar phosphoprotein B23, numatrin)"	4869	5:171387949-171410565	1		5q35	yes		"NHL, APL, AML"			L	Dom	"oncogene, fusion"	"T, F"	"ALK, RARA, MLF1"			"4869,ENSG00000181163,NPM1,P06748"
NR4A3	"nuclear receptor subfamily 4, group A, member 3 (NOR1)"	8013	9:99828041-99863867	1		9q22	yes		extraskeletal myxoid chondrosarcoma			M	Dom	"oncogene, fusion"	T	"EWSR1, TAF15, TCF12, TFG"			"8013,ENSG00000119508,NR4A3,Q92570"
